"id","name","geom","nametr"
156,"Рузаевка","0101000020E6100000952C27A1F4BC50403FADA23F34694A40","Ruzaevka"
157,"Темірбек Жүргенов","0101000020E6100000F1CFB128913F4E40C2B68F2628374940","Temіrbek Jürgenov"
158,"Тұрар Рысқұлов","0101000020E61000006515DB49699651408FB1C9D067444540","Tұrar Rıskұlov"
159,"Троебратский","0101000020E6100000CA5F6B0080845040D90D36D0D7374B40","Troebratskiy"
160,"Щучинск","0101000020E6100000CDF22B8CE38B51405C61B0D128784A40","Şçuçinsk"
161,"Бурабай","0101000020E6100000C768780EC0935140E41E01929F8A4A40","Burabay"
162,"Қазығұрт","0101000020E6100000DC2A8881AE5851400796236420E14440","Kazığұrt"
163,"Жалағаш","0101000020E6100000B4F0AB28942B5040076F59CF5A8A4640","Jalağaş"
164,"Аса","0101000020E6100000C66AF3FFAAC95140D906EE409D844540","Asa"
165,"Ақкөл","0101000020E6100000B8C4364E2FBD5140D1C3753172FF4940","Akköl"
166,"Бестөбе","0101000020E61000002D9ED55D34465240C2AB4088BF3F4A40","Bestöbe"
167,"Зайсан","0101000020E6100000F0A2AF20CD3755402041F163CCBB4740","Zaysan"
168,"Солнечный","0101000020E610000014B1886187DD524046CEC29E76044A40","Solneçnıy"
169,"Майқайың","0101000020E6100000E04735EC77F352405C9EBDE94CBB4940","MaykayıNg"
170,"Үлкен Ақсу","0101000020E6100000BF61A2410AE7534010CCD1E3F7AE4540","Ülken Aksu"
171,"Бақбақты","0101000020E6100000F2CF0CE2032E5340F19C2D20B4484640","Bakbaktı"
172,"Тереңөзек","0101000020E610000050F40A55FB3E5040F3EDB83C31864640","TereNgözek"
173,"Қабанбай","0101000020E6100000D0961870BB855440FB7B84F5DA094740","Kabanbay"
174,"Боралдай","0101000020E6100000F1EE6D9FFA3653405D0F7052E2AD4540","Boralday"
175,"Косшы","0101000020E610000025766D6FB7D65140D81B6B35DA7C4940","Kosşı"
176,"Шар","0101000020E6100000ABCE6A813D43544093AB58FCA6CA4840","Şar"
177,NULL,"0101000020E610000015AC71369DB151407533EDAC27684A40",NULL
178,"Аягөз","0101000020E6100000021D9C3EF11B5440FB96941689FB4740","Ayagöz"
179,"Кеңқияқ","0101000020E6100000F0DDE68D938E4C40EADCFEA6C14D4840","KeNgkiyak"
180,"Асықата","0101000020E6100000DBCF189C77175140F734CC75BF724440","Asıkata"
181,"Алатау","0101000020E6100000244F4821FF465340F65503DE13D64540","Alatau"
